Class Name,Certification,Level Seal,Proficiency,Abilities,Mastery Abilities,Specific
Wyvern Master,Start of Chapter 13,Lord,"Authority +3, Bow +3, Flying +3","Bowfaire, Canto, Charm",Pomp & Circumstance,Claude only
Commoner,Can use magic at half uses,Unique,,,HP +5,
Noble,Can use magic at half uses,Unique,,,HP +5,
Dancer,Win the White Heron Cup. Can use magic,Unique,"Authority +2, Sword +2",Dance,Special Dance,
Enlightened One,Start of Chapter 11. Can use magic,Unique,"Authority +3, Brawl +2, Faith +3, Sword +3","Swordfaire, Terrain Resistance",Sacred Power,Byleth only
Archbishop,Can use magic,Unique,"Authority +3, Faith +3, Sword +3","Charm, Commander, Terrain Resistance",Sacred Power,Rhea only
Death Knight,Can use magic,,"Lance +3, Reason +3, Riding +3","Canto, Lancefaire",Counterattack,Death Knight only
Swordmaster,Sword A,Advanced,Sword +3,"Sword Critical +10, Swordfaire",Astra,
Hero,"Sword B, Axe C",Advanced,"Axe +2, Sword +3","Swordfaire, Vantage",Defiant Str,Male only
Assassin,"Sword B, Bow C",Advanced,"Bow +2, Sword +3","Locktouch, Stealth, Swordfaire","Assassinate, Lethality",
Paladin,"Lance B, Riding B",Advanced,"Lance +3, Riding +3, Sword +2","Canto, Lancefaire, Terrain Resistance",Aegis,
Warrior,Axe A,Advanced,Axe +3,"Axe Critical +10, Axefaire",Wrath,
Fortress Knight,"Axe B, Heavy Armor B",Advanced,"Axe +3, Hvy Armor +3, Lance +2","Axefaire, Weight -5",Pavise,
Wyvern Rider,"Axe B, Flying C",Advanced,"Axe +3, Flying +3, Lance +2","Axefaire, Canto",Seal Defense,
Sniper,Bow A,Advanced,Bow +3,"Bowfaire, Bowrange +1",Hunter's Volley,
Grappler,Brawl A,Advanced,Brawl +3,"Fistfaire, Unarmed Combat","Fierce Iron Fist, Tomebreaker",Male only
Warlock,Reason A. Can use magic,Advanced,"Faith +2, Reason +3","Black Magic Uses x2, Black Tomefaire",Bowbreaker,
Dark Bishop,Reason A (Dark Mage qualification Dark Seal),Advanced,"Faith +2, Reason +3","Fiendish Blow, Heartseeker, Miasma",Lifetaker,Male only
Bishop,Faith A. Can use magic,Advanced,"Faith +3, Reason +2","Terrain Resistance, White Magic Heal +10, White Magic Uses x2",Renewal,
